ticker,pay_date,ex_date,confidence,source
00010,2021-05-20,2021-05-04,high,investing+digrin
00010,2021-09-29,2021-09-10,high,digrin
00010,2022-05-19,2022-04-29,high,digrin
00010,2022-09-29,2022-09-09,high,digrin
00010,2023-05-23,2023-05-03,medium,digrin
00010,2023-10-04,2023-09-12,medium,digrin
00010,2024-06-18,2024-05-08,medium,investing
00010,2024-09-25,2024-08-14,high,investing
00010,2025-06-16,2025-05-07,high,investing
00010,2025-09-24,2025-08-13,high,investing
00010,2026-06-15,2026-05-06,high,investing
00101,2024-09-25,2024-08-14,high,etnet
00101,2025-06-16,2025-05-07,high,etnet
00101,2025-09-24,2025-08-13,high,etnet
00101,2026-06-16,2026-05-06,high,etnet
00468,2021-07-07,2021-06-07,high,dividendmax
00468,2021-10-18,2021-09-16,high,dividendmax
00823,2025-08-05,2025-06-18,high,etnet
00823,2026-01-02,2025-12-02,high,etnet
01038,2021-06-02,2021-05-17,high,digrin
01038,2021-09-15,2021-09-03,high,digrin
01038,2022-06-08,2022-05-20,high,digrin
01038,2022-09-15,2022-09-02,high,digrin
01038,2023-06-07,2023-05-22,high,digrin
01038,2023-09-13,2023-08-31,high,digrin
01038,2024-06-14,2024-05-27,high,digrin
01038,2024-09-25,2024-09-12,high,digrin
01038,2025-06-11,2025-05-26,high,digrin
01038,2025-09-24,2025-09-10,high,digrin
01038,2026-06-10,2026-05-26,medium,investing+AGM
01310,2022-01-06,2021-12-16,high,etnet
01310,2022-05-26,2022-05-11,high,etnet
01310,2023-01-06,2022-12-21,high,etnet
01310,2023-05-31,2023-05-16,high,etnet
01310,2024-01-10,2023-12-20,high,etnet
01310,2024-06-07,2024-05-21,high,etnet+futu
01310,2025-01-03,2024-12-17,high,etnet
01310,2025-06-10,2025-05-27,high,etnet+investing
01310,2026-01-06,2025-12-19,high,etnet
01310,2026-06-10,2026-05-27,high,etnet
01523,2024-04-03,2024-03-13,medium,etnet
01523,2024-08-20,2024-08-07,high,etnet
01523,2025-03-27,2025-03-12,high,etnet
01523,2025-08-26,2025-08-13,high,etnet
01523,2026-03-26,2026-03-11,high,etnet
01883,2021-09-29,2021-09-08,high,etnet
01883,2022-06-13,2022-05-25,high,etnet
01883,2022-09-30,2022-09-07,high,etnet
01883,2023-06-14,2023-05-29,high,etnet
01883,2023-10-04,2023-09-11,medium,etnet
01883,2024-06-17,2024-05-23,high,etnet
01883,2024-09-27,2024-09-09,high,etnet
01883,2025-06-20,2025-05-26,high,etnet
01883,2025-09-26,2025-09-05,high,etnet
O5RU,2018-01-17,2017-11-28,high,divvydiary
O5RU,2018-03-22,2018-02-07,high,divvydiary/dividendmax
O5RU,2018-06-21,2018-05-04,high,divvydiary
O5RU,2018-09-20,2018-08-03,high,divvydiary/dividendmax
O5RU,2018-12-21,2018-11-01,high,divvydiary/dividendmax
O5RU,2019-03-29,2019-02-13,high,divvydiary/dividendmax
O5RU,2019-06-20,2019-05-03,high,divvydiary/dividendmax
O5RU,2019-09-19,2019-08-02,high,divvydiary/dividendmax
O5RU,2019-12-20,2019-11-12,high,divvydiary/dividendmax
O5RU,2020-03-26,2020-02-07,high,divvydiary/dividendmax
O5RU,2020-06-29,2020-05-19,high,divvydiary
O5RU,2020-09-17,2020-08-03,high,divvydiary/dividendmax
O5RU,2020-12-18,2020-11-03,high,divvydiary/dividendmax
O5RU,2021-03-19,2021-02-04,high,divvydiary/dividendmax
O5RU,2021-06-24,2021-05-12,high,divvydiary/dividendmax
O5RU,2021-09-22,2021-08-05,high,divvydiary/dividendmax
O5RU,2021-12-17,2021-10-26,high,divvydiary/dividendmax
