canonical,alias_code,names
0P00006FYT,0P00006FYT,Infinity US 500
0P0001OOJG,0P0001OOJG,Amundi Prime USA
10,10,Hang Lung Group HKD
101,101,Hang Lung Properties HKD
1038,1038,Cheung Kong Infrastructure HKD
1127,1127,Lion Rock HKD
1J5,1J5,HYPHENS PHARMA; Hyphens Pharma
42R,42R,JUMBO; Jumbo
43Q,43Q,ADVANCER GLOBAL; Advancer Global
468,468,Greatview Aseptic Packaging HKD
558,558,UMS
5CP,5CP,SILVERLAKE AXIS; Silverlake Axis
5E2,5E2,Seatrium Ltd; Seatrium Ltd Cash Dividend; Seatrium Ltd Cash in Lieu
752,752,Pico Far East HKD
831,831,Convenience Retail Asia HKD
883,883,CNOOC
9CI,9CI,CapitaLandInvest
ADQU,ADQU,ACCORDIA GOLF TR; ACCORDIA GOLF TR (SUSP); Accordia Golf Tr
ASTREA6B,ASTREA6B,ASTREAVIB310318
BSL,BSL,RAFFLES MEDICAL; Raffles Medical
BTOU,BTOU,MANULIFEREIT USD; Manulife US Reit; ManulifeReit USD
BVA,BVA,TOP GLOVE; Top Glove
C31,C31,CapitaLand Ltd
C38U,C38U,CapitaLand Integrated Commercial Trust; CapitaLand Integrated Commercial Trust Cash Dividend; CapitaLand Integrated Commercial Trust Scrip Dividend Option; CapitaLand Mall Trust Cash Dividend; CapitaMall Trust; Capitaland Integrated Commercial Trust
C52,C,(label alias)
C52,C52,Comfort Delgro; ComfortDelGro
CHZ,CHZ,HRNETGROUP; HRnetGroup
CJLU,CJLU,NETLINK NBN TR; Netlink Trust
CMOU,CMOU,Keppel Pacific Oak US Reit
CRPU,CRPU,SASSEUR REIT; Sasseur REIT Cash Dividend; Sasseur Reit
D05,D05,DBS; DBS Group Holdings Ltd; DBS Group Holdings Ltd Cash Dividend; DBS Group Holdings Ltd Scrip Dividend Option
F17,F17,GUOCOLAND; GuocoLand
F34,F34,Wilmar; Wilmar International Ltd Cash Dividend; Wilmar Intl; Wilmar Intl SGD
H78,H78,Hongkong Land Holdings; Hongkong Land Holdings Ltd Cash Dividend; HongkongLand USD
HMN,HMN,CapitaLand Ascott Trust
J2T,J2T,HOCK LIAN SENG; Hock Lian Seng
LIW,LIW,EAGLE HTRUST USD; Eagle Htrust USD
MR7,MR7,NORDIC; Nordic
N2IU,N2IU,Mapletree Com Tr; Mapletree Commercial Trust Cash Dividend; Mapletree Pan Asia Commercial Trust Cash Dividend; Mapletree PanAsia Com Tr
O39,O39,OCBC; OCBC BANK
O5RU,O5RU,AIMS APAC REIT; AIMS APAC REIT Cash Dividend; AIMS APAC Reit; AIMSAMP CAP REIT
OU8,OU8,CENTURION; Centurion; Centurion Corp Ltd Cash Dividend
P40U,P40U,STARHILLGBL REIT; Starhill Global Reit
Q01,Q01,QAF
Q01,QAF,(label alias)
S51,S51,Seatrium Ltd; SembCorp Marine Ltd; Sembcorp Marine
S61,S61,SBS Transit
S7OU,S7OU,ASIAN PAY TV TR; Asian Pay Tv Tr
SET,CWBU,(label alias)
SET,CWBU,CROMWELL REIT EU; CROMWELLREIT EUR; Cromwell Reit EUR; STONEWEG EUTRUST; STONEWEG REIT EU
SET,SET,Stoneweg European Trust EUR
SGXZ17686775,SGXZ17686775,T Bills
SGXZ18842542,SGXZ18842542,T Bills
SGXZ87559985,SGXZ87559985,T Bills
SV3U,SV3U,SOILBUILDBIZREIT; Soibuild Biz Reit
U96,U96,Sembcorp Ind; Sembcorp Industries; Sembcorp Industries Ltd Cash Dividend
UD1U,UD1U,IREIT Global; IREIT Global Cash Dividend; IREIT Global SGD
XC9,XC9,IREIT Global R
Y5V,Y5V,SEMBCORP MARINE  LTD R; SembMarine R
Z74,Z74,SINGTEL; SingTel; Singtel
3255,HEIM,Heineken Malaysia Bhd; HEIM
